Hospital Name,Address,Contact No.
MORONG DOCTORS HOSPITAL,GOVERNOR MARTINEZ ST. MORONG RIZAL,6532491 (TrunkLine)
MOTHER OF MERCY HOSPITAL,"B. Aquino Avenue, Brgy. 50-B Youngfield, Tacloban City",(0999)9959335
MOTHER TERESA OF CALCUTTA MEDICAL CENTER,"BRGY. MAIMPIS, MC ARTHUR HIGHWAY CITY OF SAN FERNANDO PAMPANGA",(045) 861-4607 /(045) 455-0662; 455-2128 to 29; 455-2131 to 32; (045) 461 4607 loc 2126
"MT. CARMEL MEDICAL CENTER OF BULACAN, INC.","Bunlo, Bocaue, Bulacan",(044) 278-6239
N. L. VILLA MEMORIAL MEDICAL CENTER,"Felix Manalo Street, Lipa City, Batangas",(043) 757-1281/ 756-4871 to 72; 552-5042 (manila line); 756-1217 (Transferrable trunkline)
"NAIC DOCTORS HOSPITAL, INC","Daang Makina, Naic, Cavite",(046) 412-1443
NATIONAL KIDNEY & TRANSPLANT INSTITUTE,"East Avenue, Quezon City",(02) 981-0300; 981-0400
"NAZARENUS COLLEGE AND HOSPITAL FOUNDATION, INC. (FORMERLY NAZARENUS COLLEGE FOUNDATION HOSPITAL)","#133 McArthur Highway, Saluysoy Meycauayan, Bulacan",(044) 840-7948/49; 815-4670; (044) 711.5429; 711-4318/044 697 8328
NAZARETH GENERAL HOSPITAL,"203 Peres St., Dagupan City Pangasinan",(075) 522-1110 ; (075) 522-1151; 0906-277.8477
NEGROS ORIENTAL HOSPITAL AND HEALTH SERVICES COOPERATIVE,"UYMATIAO BLDG., STA. ROSA STREET, BARANGAY 3, DUMAGUETE CITY, NEGROS ORIENTAL",(035) 531-2463 / 09550888653
NEW HOLY FAMILY HOSPITAL,"Fr. Laguirre St., Bongao, Tawi-Tawi",(068) 268-1271
NEW SINAI MDI HOSPITAL,"NATIONAL HI-WAY, BRGY. TAGAPO HALANG, STA. ROSA, LAGUNA",0917-5723410; 0922-8205601 / (049) 508-1049; (049) 508-2831
NICC DOCTORS HOSPITAL,"Carnation St. Barangay Triangulo, Roxas Avenue, Diversion Road, Naga City",(054)475-0000; 472-6094; 472-6040; 472-7252
NORTH CALOOCAN DOCTORS HOSPITAL,"Lot 31 Block 10, Bankers Village 2, Quirino Hi-Way, Caloocan City",9615213
NORTHSIDE DOCTORS HOSPITAL,"Guimod, Bantay, Ilocos Sur",(077) 604-04-75
NOTRE DAME DE CHARTRES HOSPITAL,"GENERAL LUNA ROAD, BAGUIO CITY",(074) 619.8530 to 34
NOTRE DAME HOSPITAL & SCHOOL OF MIDWIFERY,"Sinsuat Ave., Rosary Heights, Cotabato City, North Cotabato",(064) 421-2954
"NOVALICHES GENERAL HOSPITAL, INC.","793 Quirino Hi-way Gulod, Novaliches Quezon City","426-8888 (HMO)/0977-803 5863 / 0942-291-9025, 09602721742"
NUESTRO SEÑOR STO. NIÑO HOSPITAL,"Juan Luna St., Pob. Sur, Bayambang, Pangasinan",(075) 592-2290
"NUEVA ECIJA DOCTOR’S HOSPITAL, INC.","Maharlika Highway, Cabanatuan City",(044) 940-9107; 940-1323; (044) 464 1187; 960-5500
"NUEVA ECIJA GOOD SAMARITAN HEALTH SYSTEM, INC. (CABANATUAN)","BURGOS AVENUE., CABANATUAN, NUEVA ECIJA",(044) 463-1582 to 85/4643969
"NUEVA ECIJA GOOD SAMARITAN HEALTH SYSTEM, INC. (GAPAN)","Bucana, Gapan, Nueva Ecija",(044) 486-2363-64
"NUEVA ECIJA MEDICAL CENTER (FORMERLY GONZALES GENERAL HOSPITAL, INC)","Diversion Rd., San Leonardo, Nueva Ecija",(044) 940-0981; 940-8481; 940-8482; 0956-815-8547; 0917-566-7276
OLIVAREZ GENERAL HOSPITAL INC.,"DR. A. SANTOS AVENUE, SUCAT ROAD PARANAQUE, METRO MANILA",(02) 826-5035/826-7966/825-8747/826-5750
ORION ST. MICHAEL HOSPITAL INC,"National Road, Brgy. Wakas, Orion Bataan",047-244.7331; 0927-750.5100; 0917-824.7331
ORTIGAS HOSPITAL AND HEALTHCARE CENTER INC.,"KM 21 BROOKSIDE HILLS BRGY. SAN ISIDRO CAINTA, RIZAL",0920-8977570;(8)246-6558 Local 111
OSPA-FARMERS MEDICAL CENTER,"Carlota Hills Brgy. Can-Adieng, Ormoc City, Leyte",(053) 561-1701; 561-1702; 255-3194
OSPITAL NG CALACA,"Brgy. Bagong Tubig, Calaca, Batangas",(043)223-7708
"OSPITAL NG KABATAAN NG DIPOLOG, INC.","604 Padre Ramon St., Estaka Dipolog City",(065) 2124821/2122837
OUR LADY MEDIATRIX HOSPITAL,National Highway San Jose Iriga City Camarines Sur,0917-137-0642
OUR LADY OF CAYSASAY MEDICAL CENTER,"V. ILUSTRE STREET, LEMERY, BATANGAS",(043) 409-1888; 2142429-HMO dept.; 4292802- Manila Line
OUR LADY OF GRACE HOSPITAL,"8th Avenue cor. F. Roxas Grace Park, Caloocan City",(02) 361-1124
OUR LADY OF LOURDES HOSPITAL,"46 P. SANCHEZ ST. BGRY. 606,  STA. MESA",(02) 8-716-3901;
OUR LADY OF LOURDES HOSPITAL (DAET),"Vinzons Ave., Daet, Camarines Norte",(054) 721-2664
OUR LADY OF LOURDES INTERNATIONAL MEDICAL CENTER,"2 National Highway Brgy. Barretto, Olongapo City",(047) 2229011-13
OUR LADY OF MERCY GENERAL HOSPITAL,"Doña Remedios Trinidad, Longos, Pulilan, Bulacan",(044) 676-2774; 795-2505
OUR LADY OF MT. CARMEL MEDICAL CENTER - CLARK,"NINOY AQUINO AVE., CLARK SPECIAL ECONOMIC ZONE, PAMPANGA",(045) 893-4369 / (045) 499.1446
"OUR LADY OF MT. CARMEL MEDICAL CENTER (SAN FERNANDO, PAMPANGA)","KM 78 MC ARTHUR HI-WAY, BRGY. SAGUIN, SAN FERNANDO, PAMPANGA",(045) 860-1265; 636-6504-05; 860-0993; 455-1416 (045) 865 6262
OUR LADY OF PIAT POLYCLINIC,"Blk.11 Lt.13 South City Drive, South City Homes, Sto. Tomas, Biñan, Laguna",(02) 4002975
OUR SAVIOUR HOSPITAL,"Gen. Trias, Rosario, Cavite",(046) 438-1802 / 438-3688; 438-3688;
PACIFIC GLOBAL MEDICAL CENTER,"Lot 2B Mindanao Avenue, Brgy. Talipapa, Novaliches Quezon City",(02)901-4941; 949-0654
PADRE P I O NORTH CALOOCAN HOSPITAL (FORMERLY NODADO GENERAL HOSPITAL),"Area A. Camarin, Caloocan City",962.8021 loc. 122 (records)/ 107(ER) / 8651 1675
PADRE PIO MATERNITY AND MEDICAL HOSPITAL INC.,"Gen. Luna St., Balante, Ampid I, San Mateo, Rizal",(02) 656-8558
PAGADIAN CITY MEDICAL CENTER,"CABRERA ST. PAGADIAN CITY, ZAMBOANGA DEL SUR",(062) 215-2647/214-3237
PAGADIAN DOCTORS HOSPITAL,"Rizal Ave., Lumbia District, Pagadian City, Zamboanga Del Sur",(062) 214-3943
PAG-ASA HOSPITAL,"899 National Road, Brgy., Pag-asa Binangonan, Rizal",451.2180; 651.3962
PAGSANJAN MEDICAL CLINIC AND GENERAL HOSPITAL,"BRGY. SAMPALOCAN PAGSANJAN, LAGUNA",(049) 501-4228
PAMPANGA MEDICAL SPECIALIST HOSPITAL,"Jose Abad Santos Avenue, San Antonio, Guagua, Pampanga",(045) 455-7674; 455-1219 to 21; 455-1197; (HR) 045-455.1242
PAMPANGA PREMIER MEDICAL CENTER,"Km. 55 McArthur Highway, Brgy. Sampaloc, Apalit, Pampanga",(045) 425-0084; 0925-601-4875
PAMPLONA HOSPITAL AND MEDICAL CENTER INC.,"46 Alabang-Zapote Road, Pamplona Uno, Las Piñas City",8255-4802 ; 8353-4534
PANABO POLYMEDIC HOSPITAL,"Quirino Street, Panabo City, Davao Del Norte",084 823 0981
PANAY HEALTH CARE MULTI-PURPOSE COOPERATIVE HOSPITAL,"Estancia, Kalibo, Aklan",(036)268-1098/268-3475
"PANAY MEDICAL VENTURES, INC. (QUALIMED GENERAL HOSPITAL)","Ayala Atria Park District, Don Donato Pison Ave., San Rafael, Mandurriao, Iloilo City",(033)500-4000
PARAÑAQUE DOCTORS HOSPITAL,175 DONA SOLEDAD AVE. BETTERLIVING SUBD. PARANAQUE,(02) 776 - 0644 - 46/ 776-02-88 (Industrial Dept.)
PASCUAL GENERAL HOSPITAL,"130 M.Pascual St. Baesa Quirino Hi-way, Quezon City",362-5862; 0922-868-2993
"PASIG DOCTORS MEDICAL CENTER, INC.","#254 Amang Rodriguez Avenue Manggahan, Pasig City",878-7362/ loc 102  (HMO)/ 997-2792
"PERPETUAL SUCCOR HOSPITAL & MATERNITY, INC.","836 F. CAYCO ST. SAMPALOC, MANILA",(02) 731-1631;731-5774-77
PERPETUAL SUCCOUR HOSPITAL,"GORORDO AVENUE, CEBU CITY",(032) 233-8620-40
PHILIPPINE GENERAL HOSPITAL,"Philippine General Complex, Taft Ave. Manila",554.84
PHILIPPINE HEART CENTER,"EAST AVENUE, BGRY. CENTRAL,  QUEZON CITY",(02) 925-2401
"PHILIPPINE REHABILITATION INSTITUTE (PRI)FOUNDATION, INC.","BLOCK 6, LOT 11, ARAYAT BLVD., ANGELES CITY, PAMPANGA",(045) 887-1242; 888-9469; 888-9397
PHILLIPS MEMORIAL HOSPITAL,"Camp Philipps, Manolo Fortich, Bukidnon",(088)855-5976
PILAR MEDICAL AND MATERNITY CLINIC,"# 2 Rainbow Subd. Quezon Ave., Angono, Rizal",651-0231
PINAMALAYAN DOCTORS HOSPITAL,"Francisco St., Pinamalayan Oriental Mindoro",9565585226
PLTC INC. LUIS A. TIAM MEDICAL CENTER,"Bascarran, Solano, Nueva Viscaya",(078) 808.0042; (0917) 550.4033; (0999) 992.4609
POPE JOHN PAUL II HOSPITAL AND MEDICAL CENTER INC.,"545 - E ALABANG - ZAPOTE RD., TALON I, LAS PIï¿½AS CITY",8-826-0285; 2-826-0274
"PREMIERE GENERAL HOSPITAL OF NUEVA ECIJA, BALER, AURORA, INC.","Sukalayin, Baler Aurora",0977-8095522; 09103798651
"PREMIERE MEDICAL CENTER (FORMERLY PREMIERE GENERAL HOSPITAL OF NUEVA ECIJA, INC.)","Maharlika Highway, Daan Sarile, Cabanatuan City 3100",(044) 463-7845 to 49; 454-1007; 600-0957; 600-0267; 600-0176; 463-5868
"PROTACIO MEDICAL SERVICES, INC. (PROTACIO HOSPITAL)","484 Quirino Avenue, Tambo, Parañaque City",852-2953
"PROVIDENCE HOSPITAL, INC.","#1515 Quezon Ave., West Triangle, Quezon City",8558 - 6999 loc.110/119
PUERTO COMMUNITY HOSPITAL,"Zone-6 Puerto Highway, Puerto, Cagayan de Oro City",(088) 855.5088 loc 102 or 101
"QUEEN MARY HELP OF CHRISTIANS HOSPITAL, INC.","Brgy. Calahan, Cardona, Rizal",213-5245 to 46
QUEEN MARY HOSPITAL,"J. Pastor St., Poblacion, Ibaan, Batangas","(043) 414-1252 , 09773925212"
"R. DE C. GALVEZ MEDICAL CENTER, INC.","Cagayan Valley Road National Highway San Juan, San Ildefonso, Bulacan",(044) 797-0510; 326-2937; 677-2426
R.T. LIM FAMILY HOSPITAL CO.,"Brgy. Katipunan , Roseller T. Lim, Zamboanga Sibugay",9453498120
RAMOS GENERAL HOSPITAL,"P. HILARIO STREET LIGTASAN, TARLAC CITY",(045) 493 2565 ï¿½ 66 LOC 161/ 0917 112 8588/0936 923 8411
RANADA GENERAL HOSPITAL,Brgy. 9 Balintawak St. Laoag City,(077) 7704911; 7731199
RANADA MEDICAL AND DIAGNOSTIC CENTER,"Brgy. 7A S. Hernando Ave., Laoag City 2900, Ilocos Norte",(077)770-5172
"RECUENCO GENERAL HOSPITAL, INC.","68 Sampaloc Extension, Signal Village, Taguig City",837.9679 ; (0922) 830-3043
"RICARDO LIMSO MEDICAL CENTER, INC.","V. ILUSTRE ST., DAVAO CITY, DAVAO DEL SUR",(082) 226-3688
RIDONS ST. JUDE MEDICAL CENTER CORP.,"60 and 62 Harris St., cor. 18th St., East Bajac-Bajac, Olongapo City",(047) 222.5833 to 35; 0916-226-9458; 0932-258-9659
"RIVERA MEDICAL CENTER, INC.","7302 SAN FRANCISCO, PANABO CITY, DAVAO DEL NORTE",(084) 628-5234
ROMEL CRUZ HOSPITAL,"#702 Baog, Matimbo, City of Malolos, Bulacan",(044)791-3025
"ROSARIO MEDICAL CENTER OF GUAGUA, INC.","SAN ROQUE, GUAGUA, PAMPANGA",(045) 649-5867
ROSARY OF VIRGIN MARY HOSPITAL,"M. Roxas Street, Sta. Elena, Camarines Norte 4611",054 885 0764
"RUGAY GENERAL HOSPITAL, INC.","M. Cruz St., Carpa Village, Sabang, Baliwag, Bulacan",(044) 766-3457; 766-4629
SABATER GENERAL HOSPITAL,"Caruncho Ave., San Nicolas, Pasig City",8641-8194
"SACRED HEART HOSPITAL OF MALOLOS, INC.","DR. PERALTA ST. GUINHAWA SUBD., MALOLOS BULACAN",(044) 791-2911 ; 794-4744 loc. 442/443 (acctg.)
SACRED HEART MEDICAL CENTER,"Mc Arthur Highway, Sto. Domingo, Angeles City, Pampanga",(045) 624-5606 -12
SAGRADA FAMILIA HOSPITAL,"205 Bgy.Tangos, Baliuag, Bulacan",(044) 673-4123
SAINT GABRIEL MEDICAL CENTER,"Archbishop G. Reyes St., cor. G. Pastrana St., Kalibo, Aklan",036-268.1623 / 036-268.1624 ; 036-262-8814
SAINT PASCAL DE BAYLON HOSPITAL CORPORATION,"Aquino Ave., Poblacion, San Pascual Batangas",(043)728-0045
SAINT PIOS MEDICAL CENTER INC.,Govic Highway Palangian Iba zambales,9171329711
SALUBRIS MEDICAL CENTER,BRGY ROXAS SOLANO NUEVA VIZCAYA,0917-657-96-56
SALUG VALLEY MEDICAL CENTER,"Burgos St., Brgy. Madasigon, Molave, Zamboanga Del Sur",(062)225-1427/925-1741
"SALVE REGINA HOSPITAL, INC.","A2A Marcos Hi-Way, Dela Paz, Pasig City",645-3060; 477-4832; 645-3035 86617715
SAN ANTONIO LIFE CARE HOSPITAL,"NATIONAL HIGHWAY SAN ANTONIO SAN PASCUAL, BATANGAS",(043) 726-1729 / +639171542839
"SAN ANTONIO MEDICAL CENTER OF LIPA,INC.(FORMERLY SAN ANTONIO GENERAL HOSPITAL)","2 C.M. Recto Ave., Lipa City",(043) 756-2522
SAN CARLOS DOCTORS HOSPITAL,"NATIONAL HIGHWAY, SAN CARLOS CITY, NEGROS OCCIDENTAL",(034) 312-5609/5136
SAN FERNANDINO HOSPITAL INC.,"DOLORES, SAN FERNANDO, PAMPANGA",(045) 961-3377
"SAN ISIDRO HOSPITAL, INC.","119 QUEZON AVE. SAN ISIDRO, ANGONO, RIZAL",8633-6630/8781-8273/0969-568-4209
"SAN JOSE HOSPITAL AND MEDICAL CENTER, INC. (GMA, CAVITE)","Gov. Drive, Brgy. Maderan, General Mariano Alvarez, Cavite",(046) 542.0045 ; 0929.665-4803
"SAN JUAN DE DIOS EDUCATIONAL FOUNDATION, INC.","2772 Roxas Blvd., Pasay City",(02) 831-5641
"SAN LORENZO GENERAL HOSPITAL HEALTH MANAGEMENT CO., INC. (CALOOCAN)","SUSANO ROAD BRGY., 170, ZONE 5,DEPARO, CALOOCAN CITY",939.6042
"SAN LORENZO HOSPITAL HEALTH MANAGEMENT CO., INC.(QUEZON CITY)","Quirino Highway, Barangay Pasong Putik, Lagro, Novaliches, Quezon City",939-7054; 930-2195
SAN LUCAS MEDICAL,"Poblacion Ward 1, Minglanilla, Cebu",(032) 231-3898
SAN MATEO DOCTORS HOSPITAL,"Gen. Luna Ave., Guitnang Bayan I, San Mateo, Rizal",(02) 213-1137
SAN PABLO COLLEGES MEDICAL CENTER,"Brgy San Rafael, San Pablo, Laguna",(049) 562-0726-Admitting Dept. (049) 562. 0728-HMO Dept
SAN PABLO DOCTORS HOSPITAL,"55 A. MABINI STREET, SAN PABLO CITY, LAGUNA",(049) 562-0998 / 049-562-4069
SAN PASCUAL BAYLON MATERNITY AND GENERAL HOSPITAL,"Provincial Road, Sto. Niï¿½o, Paombong, Bulacan",(044) 665-2818/Fax No. (044) 760-0455
SAN PEDRO CALUNGSOD MEDICAL CENTER,"3141-C, KALAYAAN AVE., BRGY. MAGDALO, POTOL, KAWIT, CAVITE",8-519-4635; 0956-832-7277; 0947-106-9333
SAN PEDRO DOCTORS HOSPITAL,"Remedios Bldg., National Highway, Landayan, San Pedro, Laguna",(02) 868-1962 to 64 (manila Line)
"SAN PEDRO HOSPITAL OF DAVAO CITY, INC.","Guzman St, Poblacion District, Davao City, Davao del Sur 8000",(082) 222 6100; 221-4962
SANDIG MEDICAL CLINIC & HOSPITAL,"5 Ledesma St. Poblacion, Tacurong City, Sultan Kudarat",064-200.3201
SANTIAGO MEDICAL CITY,"Purok 7, National Highway, Rizal, Santiago City",078 353 9888
SANTISSIMA TRINIDAD HOSPITAL OF DAET,"Diversion Road, Barangay Camambugan, Daet, Camarines Norte 4600",(054)441-6822; 0939-9075257
SANTOS GENERAL HOSPITAL OF MALOLOS INC.,"F. Estrella St. Sto. Rosario, City of Malolos",(044) 791-0559/791-0665; Fax no.: (044) 791.4248
SARANGANI BAY SPECIALIST MEDICAL CENTER INC.,Makar Junction NAtional Highway Brgy . Apopong General Santos City,(083) 887-8888
SAVIOUR MEDICAL AND DENTAL COOPERATIVE (PAMANA MEDICAL CENTER),"NATIONAL ROAD, HALANG, CALAMBA CITY, LAGUNA",(049) 545-6858
SDS MEDICAL CENTER,"KATIPUNAN AVE., COR. PIO DEL CONCEPCION II, MARIKINA CITY",933-1405; 7078; 997-31-48 (OPD)
"SEÑOR STO. NIÑO HOSPITAL, INC.","P. Burgos St., Poblacion B, Camiling, Tarlac",(045) 934-0176
SILANG SPECIALISTS MEDICAL CENTER,"Aguinaldo Highway, San Vicente II, Silang, Cavite",(046) 4829999 / (02) 5795281
"SILLIMAN UNIVERSITY MEDICAL FOUNDATION,INC","V. ALDECOA SR. ROAD, DARO, DUMAGUETE CITY",(035) 225-08-41; 420-2000
SIMBULAN STO. NIÑO HOSPITAL,Sayre Highway Don Carlos Bukidnon,9177183482
SINILOAN PIONEER GENERAL HOSPITAL INC.,"L. De Leon St., Brgy. M. Acevida Siniloan, Laguna",(049)576-2989 ; 09228368444 ; 09190784526
SKYLINE HOSPITAL AND MEDICAL CENTER,"Skyline Drive, Tungko Mangga, San Del Monte, Bulacan",(02) 263-6700; 0977-830-3344; (044) 815-7770; (02) 7211 5245
SLU HOSPITAL OF THE SACRED HEART,"ASSUMPTION ROAD EXTENSION, BAGUIO CITY",(074) 442-3621/ 443-2000/ (074)442 5700
SNH BUSTOS CORPORATION (STO. NIÑO HOSPITAL BUSTOS CORP.),"Poblacion Bustos, Bulacan",(044) 766-2176; 903-0244; 761-8337/0923-6483370
SOCSARGEN COUNTY HOSPITAL,"BULA-LAGAO ROAD CORNER ARRADAZA STREET, GENERAL SANTOS CITY",(083) 553-8906
SOMOSO GENERAL HOSPITAL INC.,"Quezon Street, Brgy. Sto. Niño, Panabo City",(084)628-5263
SORILLA MEDICAL & MATERNITY CLINIC HOSPITAL,"National Highway, Sidsid, Tulunan, North Cotabato",0920-913.8703
"SOUTH BACOLOD GENERAL HOSPITAL & MEDICAL CENTER, INC.","Araneta Highway, Brgy. Pahanocoy, Bacolod City",034-467-9302;034-467-9307
SOUTH CITY HOSPITAL AND MEDICAL CENTER INC.,"115 Daang Hari Rd. Molino IV, Bacoor, Cavite",(02) 249-9100
SOUTH IMUS SPECIALIST HOSPITAL INC.,D.C  Ilano Blvd. Anabu 2-C Imus Cavite,(046)438-7745
SOUTH SUPERHIGHWAY MEDICAL CENTER - GATEWAY,"Gateway Business Park, Brgy. Javalera, General Trias, Cavite",(046)4330115
"SOUTHHILL MEDICAL SPECIALISTS, INC. (METRO SOUTH MEDICAL CENTER)","NATIONAL ROAD, MOLINO IV, 4102, BACOOR, CAVITE",(046) 230-9637/477-1743/477.3087 ; 09175314048
SOUTHWESTERN UNIVERSITY MEDICAL CENTER,"Southwestern University, Urgello Street, Sambag 2, Cebu City",(032) 418-8409 to 14
SPECIALISTS GROUP HOSPITAL & TRAUMA CENTER,"Tapuac District, Dagupan City","(075) 522-2254;515-8310, 09192328729"
"SPECIALISTS PRIMARY CARE OF ILANG, INC.","KM 17, Purok 19, Ilang, Bunawan District, Davao City, Davao Del Sur, Philippines",(082) 233-6974
SSMC GROUP OF HOSPITALS AND CLINICS INC. (SOUTH SUPERHIGHWAY MEDICAL CENTER),"KM. 17 WEST SERVICE RD. BRGY.MARCELO, PARAÑAQUE CITY",823.5250;2027;2357; 823 2357
SSMCHEALTH INC.,"ABUTIN BLDG. GEN. TRIAS DRIVE, ROSARIO, CAVITE (IN FRONT OF PETRON DEPO)",(046) 438.7125; 884-0817; 884-0818
ST. ANDREW HOSPITAL,"TUMAWAY, TALISAY, BATANGAS",(043)7730196 / 09985103905
ST. ANN MEDICAL HOSPITAL,"Sayre Highway, Poblacion, Quezon, Bukidnon",09177009685/ 09067653940
"ST. ANNE GENERAL HOSPITAL, INC.(ANDAMAN GENERAL HOSPITAL)","ANDAMAN CPD, RED-V, LUCENA CITY",(042) 710-3506
ST. ANTHONY COLLEGE HOSPITAL,"SAN ROQUE EXTENSION, ROXAS CITY, CAPIZ",(036) 621-6004
"ST. ANTHONY MEDICAL CENTER OF MARIKINA, INC.","32 Sta. Ana Ext. cor. Betelnut St., San Roque, Marikina City",682-3240; 647-8134; 6618452 loc 102
"ST. BERNARD INFIRMARY & MULTISPECIALTY CLINIC, INC.","Quarry Road, Brgy. Palangoy, Binangonan, Rizal",(02) 470-1521/ 0943-8116586; 0906-2853926
ST. CAMILLUS HOSPITAL,"Airport Road, Brgy. Trinidad, Calbayog City, Western Samar",(055) 209-3289; 209-1164
"ST. CAMILLUS HOSPITAL OF MATI FOUNDATION, INC.","P.O Box 4 Madang Central, Mati, Davao Oriental",(087)388-3682
ST. CAMILLUS MEDICAL CENTER,"116 E. Amang Rodriguez Ave., Pasig City",ER 682-0748 ; 645-3741 to 42 (trunkline)
ST. CATHERINE OF ALEXANDRIA FOUNDATION AND MEDICAL CENTER,"4163 RIZAL STREET EXTENSION, ANGELES CITY",(045) 888-7209; 322-2941
ST. CHRISTIANA HOSPITAL INC. ( FORMERLY ST. CHRISTIANA MATERNITY HOSPITAL),"3338 Magsaysay Ave., Karangalan Village, Manggahan Pasig City",682-8751
ST. CLARES MEDICAL CENTER,"1838 DIAN ST., PALANAN, MAKATI CITY",(02) 831-6511-14; ER LOC 127
ST. DOMINIC MEDICAL CENTER,"Gen. Aguinaldo Hi-way, Bacoor Cavite",(046) 417-2520 ; 2525 ; 2539 ; 417.4030
ST. ELIZABETH HOSPITAL GENSAN,National H-way Cor. Santiago Blvd. General Santos City,(083) 552-3162
ST. FRANCES CABRINI MEDICAL CENTER,"MAHARILIKA HI-WAY, POBLACION II, SANTO TOMAS, BATANGAS",(043) 778-4811 to 18
"ST. JAMES HOSPITAL- VQR FOUNDATION FOR MEDICAL AND COMMUNITY DEVELOPMENT, INC.","Pantay Daya, Vigan City, Ilocos Sur",(077) 722-2943-45
"ST. JAMES HOSPITAL, INC.","18 MARIQUITA PUEBLO DITA, STA. ROSA, LAGUNA",Manila Line : 0286652473; (049) 502 0058
ST. JOHN GENERAL HOSPITAL,"Buug, Zamboanga, Sibugay",(062) 344-8133
"ST. JOHN HOSPITAL INC., NAGA","Panganiban Drive, Naga City",(054)473-8919/473-8477
ST. JOHN PAUL II MEDICAL CENTER CORPORATION,Sitio Mandani Barangay San Antonio Magalang Pampanga,9190653238
"ST. JOHN THE BAPTIST MEDICAL CENTER, INC","Parian, Calamba, Laguna",(049) 545-7528;
ST. JOSEPH HOSPITAL OF REMEDIOS,"Gapan-Olongapo Road, Centro I, Brgy. Remedios, Lubao, Pampanga",(045) 404-0052
ST. JUDE FAMILY HOSPITAL INC.,"LOPEZ AVE., BATONG MALAKE, LOS BAÑOS, LAGUNA",(049) 536-1982; 1232
ST. JUDE THADDEUS GENERAL HOSPITAL,"Datu Maampalong St., Brgy. 6, Malaybalay City, Bukidnon",09688542007 / 09656033189
ST. LUKES MEDICAL CENTER,"279 E. RODRIGUEZ  SENIOR AVENUE, QUEZON CITY",(02) 723-0101
ST. LUKES MEDICAL CENTER - GLOBAL CITY,"RIZAL DRIVE CORNER 32ND STREET, 5TH AVENUE, TAGUIG CITY",789.77
ST. MARTIN MATERNITY & PEDIATRIC HOSPITAL,"SALCEDO II, NOVELETA, CAVITE",(046) 4381112
ST. MATTHEUS MEDICAL HOSPITAL,"60 GEN. LUNA ST., BANABA, SAN MATEO, RIZAL",948-5126; 942-0684 ; 407-4640 (OPD)
ST. MATTHIAS MEDICAL CENTER OF ISABELA INC.,"Zone 1, National Highway, Lalauanan , Tumauini , Isabela",0967-489-8980
ST. PATRICKS HOSPITAL MEDICAL CENTER,"LOPEZ JAENA STREET, BATANGAS CITY",(043)723-1605; 723-7089-92; (043)723-2745 (HMO Dept.)
ST. PAUL HOSPITAL (ILOILO),"GEN. LUNA STREET, ILOILO CITY",(033) 337-2741 to 49
"ST. PAUL HOSPITAL CAVITE, INC.","Burol II, Bagong Bayan, Dasmariñas City, Cavite",(046)481-8270-73/ 416.0595 ; (02) 843.0045
"ST. PAUL HOSPITAL OF BULACAN, INC.","#187 J.P Rizal St. Biñang 2nd Bocaue, Bulacan",(044) 794-1955/(044) 794-1892
"ST. PAUL HOSPITAL OF TUGUEGARAO, INC.","LUNO EXT., UGAC NORTE TUGUEGARAO CITY, CAGAYAN",(078) 844-2578; (078) 844-2512; 844-2520 local 109/120 (HMO); 0977-839-8119
ST. RAPHAEL FOUNDATION AND MEDICAL CENTER,"BRGY. CAMACHILE, MC ARTHUR HI-WAY, MABALACAT, PAMPANGA",(045) 892-2688/2374/(045) 331-1288
ST. SCHOLASTICAS HOSPITAL,"Brgy. Cababto-an, Pambujan, Northern Samar, Leyte","0909-1750824, 0955-6621753"
ST. THERESE DE LIMA MEDICAL HOSPITAL,"J. Sumulong Ave., Bagumbayan, Teresa Rizal",400-5193/09163635066
ST. THERESE HOSPITAL,"Layawan Oroquieta City, 7207 Misamis Occidental",(088) 531.1274
ST. VICTORIA HOSPITAL,"444 J.P. RIZAL ST., MARIKINA CITY",(02) 942-2022; 941-5081
ST. VINCENT GENERAL HOSPITAL,NO. 210-D R. Landon St. Sambag 1 Cebu City 6000,(032) 505-3982; 238-0000; 238-6870
STA. CECILIA MEDICAL CENTER,"National Road, Palanginan, Iba, Zambales",(047) 811-3317 ; (0908)8628918
STA. CRUZ MULTISPECIALTY HOSPITAL (STA.CRUZ HOSPITAL),"G. DEL PILAR ST, POBLACION, CALUMPIT, BULACAN",(044)202-4263
STA. MARIA MEDICAL CENTER INC.,"National Road cor Sitio Bato Brgy. Guyong, Sta. Maria Bulacan",09162988559 ; 09542614645
STA. MARIA VILLAGE HOSPITAL,"Blk. 4 Sta. Maria Village, Calapan City, Oriental Mindoro",043-288.4499; 288.8342
STA. ROSA HOSPITAL & MEDICAL CENTER,"RSBS BLVD., SAN LORENZO SOUTH BRGY.,BALIBAGO, STA.ROSA CITY, LAGUNA","(049) 508-2614,508-2715,508-2752,508-2705 to 26,(02) 584-4899,584-4913,584-4903"
STS. PETER & PAUL HOSPITAL,"612 ALEGRE ST., BALOGO, SORSOGON 4700",(056)211-0072/255-0402; 211 3979; 421-5938 (Billing)
SUERO GENERAL HOSPITAL,"Mla. North Rd. Baclig, Cabugao, Ilocos Sur",(077) 7285295 / 09171597308
SULTAN KUDARAT DOCTORS HOSPITAL,"# 25 National Highway, Tacurong, Sultan Kudarat",(064) 200-3012; 200-3010
SUNGA HOSPITAL,"Rizal Avenue, Digos City, Davao Del Sur",(082) 553-0016
